-0.004,0.008,0.501,0.017,0.007,-0.009,0.018,1.092,0.017,0.008,-0.008,0.013,0.959,0.014,0.008,-0.009,-0.009,0.990,-0.009,0.010,-0.012,-0.027,0.986,-0.028,0.012,-0.000,-0.028,0.983,-0.029,0.000,-0.015,-0.032,0.988,-0.033,0.015,-0.005,-0.008,0.980,-0.009,0.006,-0.007,0.008,0.989,0.008,0.007,-0.009,0.018,0.987,0.018,0.009,-0.010,0.005,0.988,0.005,0.011,-0.025,0.015,0.995,0.015,0.025,0.025,0.025,0.979,0.025,-0.026,-0.006,0.063,0.980,0.064,0.006,-0.046,0.075,0.981,0.076,0.046,0.003,0.086,0.984,0.088,-0.003,-0.025,0.070,0.984,0.071,0.025,-0.010,0.010,0.986,0.010,0.010,-0.011,0.021,0.985,0.021,0.011,-0.011,0.019,0.985,0.019,0.012
-0.010,0.017,0.986,0.018,0.010,-0.007,0.016,0.986,0.016,0.008,-0.008,0.015,0.986,0.015,0.008,-0.006,0.002,0.985,0.002,0.006,-0.006,-0.009,0.985,-0.009,0.006,-0.026,-0.024,0.985,-0.024,0.026,-0.008,-0.028,0.985,-0.029,0.008,-0.008,-0.033,0.989,-0.033,0.008,-0.026,-0.011,0.982,-0.011,0.026,-0.024,-0.015,0.981,-0.015,0.025,-0.020,-0.002,0.990,-0.002,0.021,0.007,0.024,0.974,0.025,-0.008,0.022,0.057,0.986,0.058,-0.023,0.013,0.071,0.982,0.072,-0.013,-0.000,0.076,0.982,0.077,0.000,-0.013,0.096,0.985,0.097,0.013,-0.014,0.058,0.985,0.059,0.014,-0.010,0.010,0.985,0.011,0.010,-0.010,0.021,0.985,0.021,0.010,-0.010,0.018,0.985,0.018,0.010
-0.009,0.017,0.985,0.017,0.009,-0.008,0.016,0.986,0.016,0.008,-0.008,0.015,0.985,0.015,0.008,-0.008,-0.008,0.985,-0.008,0.008,-0.017,-0.017,0.984,-0.017,0.017,-0.012,-0.025,0.983,-0.026,0.012,0.006,-0.005,0.981,-0.005,-0.007,-0.003,-0.009,0.988,-0.009,0.003,-0.054,-0.023,0.983,-0.023,0.055,-0.011,-0.002,0.984,-0.002,0.011,0.032,0.021,0.985,0.021,-0.033,0.034,0.036,0.990,0.036,-0.035,-0.019,0.007,0.989,0.007,0.019,-0.014,0.030,0.985,0.031,0.014,-0.003,0.099,0.982,0.100,0.003,-0.043,0.094,0.985,0.095,0.044,-0.001,0.060,0.985,0.061,0.001,-0.012,0.017,0.987,0.017,0.012,-0.010,0.018,0.986,0.018,0.010,-0.011,0.019,0.985,0.019,0.011
-0.009,0.017,0.986,0.017,0.009,-0.008,0.016,0.986,0.016,0.008,-0.009,-0.004,0.986,-0.004,0.010,-0.006,-0.006,0.984,-0.006,0.006,-0.006,-0.018,0.983,-0.019,0.006,-0.020,-0.014,0.985,-0.014,0.020,0.007,-0.019,0.984,-0.019,-0.007,-0.008,-0.012,0.989,-0.012,0.008,-0.021,0.004,0.986,0.004,0.022,-0.009,0.024,0.985,0.025,0.009,-0.022,0.023,0.986,0.023,0.023,0.015,0.053,0.984,0.053,-0.015,-0.006,0.061,0.982,0.062,0.006,-0.002,0.065,0.985,0.066,0.002,-0.022,0.065,0.983,0.066,0.022,-0.010,0.034,0.986,0.035,0.010,-0.010,0.015,0.986,0.015,0.010,-0.010,0.019,0.986,0.020,0.010,-0.010,0.018,0.985,0.018,0.010,-0.010,0.019,0.986,0.019,0.011
-0.009,0.017,0.986,0.017,0.009,-0.008,0.017,0.986,0.017,0.009,-0.009,0.015,0.986,0.016,0.009,-0.011,-0.007,0.985,-0.007,0.011,-0.005,-0.017,0.985,-0.018,0.005,-0.015,-0.018,0.985,-0.019,0.015,-0.017,-0.019,0.990,-0.019,0.017,-0.001,-0.025,0.991,-0.025,0.001,-0.046,-0.034,0.985,-0.034,0.047,0.001,0.002,0.984,0.002,-0.001,0.024,0.010,0.964,0.010,-0.025,-0.002,0.022,0.982,0.022,0.002,0.013,0.045,0.988,0.046,-0.013,-0.017,0.063,0.977,0.064,0.017,-0.010,0.096,0.986,0.097,0.010,0.006,0.119,0.983,0.121,-0.006,-0.014,0.011,0.986,0.011,0.014,-0.009,0.020,0.985,0.020,0.009,-0.010,0.018,0.986,0.019,0.010,-0.010,0.018,0.986,0.018,0.010
-0.008,0.017,0.986,0.017,0.008,-0.008,0.015,0.986,0.015,0.008,-0.009,-0.001,0.985,-0.001,0.009,-0.001,-0.009,0.986,-0.009,0.001,-0.003,-0.007,0.985,-0.007,0.003,-0.014,-0.003,0.986,-0.003,0.014,-0.009,-0.001,0.987,-0.001,0.009,-0.010,-0.007,0.983,-0.007,0.010,-0.026,-0.009,0.992,-0.009,0.027,-0.021,-0.004,0.985,-0.004,0.021,-0.003,0.005,0.983,0.005,0.003,-0.002,0.024,0.993,0.025,0.002,-0.011,0.012,0.996,0.012,0.011,0.011,0.014,0.989,0.014,-0.011,-0.006,0.043,0.987,0.044,0.006,0.016,0.051,0.975,0.052,-0.017,-0.006,0.084,0.985,0.085,0.006,-0.028,0.099,0.985,0.100,0.028,-0.009,0.016,0.986,0.016,0.009,-0.010,0.019,0.986,0.019,0.010
-0.009,0.017,0.986,0.017,0.009,-0.008,0.016,0.986,0.016,0.008,-0.008,0.017,0.986,0.017,0.009,-0.009,0.013,0.986,0.013,0.009,-0.010,-0.013,0.986,-0.013,0.010,0.001,-0.011,0.985,-0.011,-0.001,-0.011,-0.012,0.986,-0.013,0.011,-0.016,-0.030,0.986,-0.031,0.016,-0.001,-0.022,0.977,-0.022,0.001,-0.026,-0.008,0.983,-0.008,0.026,-0.001,-0.017,0.988,-0.017,0.001,-0.017,-0.000,0.984,-0.000,0.017,-0.008,0.024,0.993,0.025,0.008,0.022,0.043,0.991,0.043,-0.022,-0.021,0.031,0.977,0.032,0.022,-0.003,0.064,0.988,0.064,0.003,-0.008,0.107,0.984,0.108,0.009,0.002,0.104,0.985,0.105,-0.002,-0.013,0.008,0.985,0.008,0.013,-0.010,0.020,0.986,0.020,0.010
-0.009,0.017,0.985,0.017,0.009,-0.008,0.016,0.987,0.016,0.008,-0.007,0.008,0.986,0.009,0.007,-0.006,-0.016,0.986,-0.016,0.006,-0.010,-0.031,0.985,-0.031,0.010,-0.001,-0.014,0.986,-0.014,0.001,-0.000,-0.006,0.986,-0.006,0.000,-0.012,-0.026,0.988,-0.027,0.012,-0.025,-0.005,0.990,-0.005,0.025,-0.017,-0.007,0.987,-0.007,0.017,-0.004,0.002,0.991,0.002,0.004,0.014,0.023,0.971,0.023,-0.015,-0.001,0.050,0.989,0.050,0.001,-0.009,0.068,0.990,0.069,0.009,-0.009,0.079,0.985,0.080,0.009,-0.019,0.091,0.986,0.092,0.019,-0.018,0.059,0.985,0.059,0.018,-0.008,0.012,0.985,0.012,0.008,-0.011,0.020,0.986,0.021,0.012,-0.010,0.018,0.985,0.018,0.010
-0.009,0.017,0.986,0.018,0.009,-0.009,0.013,0.985,0.013,0.009,-0.012,-0.013,0.986,-0.013,0.012,-0.005,-0.011,0.985,-0.012,0.005,-0.009,-0.022,0.984,-0.022,0.009,-0.003,-0.023,0.980,-0.023,0.003,-0.016,-0.032,0.989,-0.033,0.017,-0.010,-0.002,0.971,-0.002,0.011,0.011,-0.002,0.983,-0.002,-0.011,-0.031,-0.003,0.982,-0.003,0.032,0.003,0.036,0.994,0.037,-0.003,-0.014,0.043,0.980,0.044,0.014,0.005,0.080,0.992,0.081,-0.005,-0.014,0.080,0.981,0.081,0.014,0.000,0.093,0.984,0.095,-0.000,-0.013,0.036,0.987,0.037,0.013,-0.011,0.013,0.985,0.013,0.011,-0.010,0.020,0.985,0.021,0.010,-0.011,0.017,0.986,0.018,0.011,-0.011,0.019,0.985,0.020,0.011
-0.010,0.018,0.985,0.018,0.010,-0.008,0.015,0.986,0.015,0.008,-0.011,-0.000,0.985,-0.000,0.011,-0.013,-0.024,0.985,-0.024,0.013,-0.003,-0.021,0.984,-0.022,0.003,0.005,-0.004,0.984,-0.004,-0.005,-0.064,-0.037,0.987,-0.037,0.065,0.005,-0.064,0.992,-0.064,-0.005,-0.015,-0.029,0.981,-0.030,0.015,0.011,0.009,0.977,0.009,-0.011,-0.003,0.028,0.987,0.028,0.003,0.014,0.049,0.986,0.050,-0.014,0.005,0.052,0.983,0.053,-0.005,-0.004,0.072,0.988,0.072,0.004,-0.016,0.108,0.986,0.109,0.016,-0.025,0.080,0.984,0.081,0.025,-0.004,0.058,0.985,0.059,0.004,-0.011,0.014,0.985,0.014,0.011,-0.011,0.018,0.986,0.018,0.011,-0.011,0.019,0.986,0.019,0.011
-0.009,0.017,0.986,0.017,0.009,-0.008,0.016,0.986,0.016,0.008,-0.008,0.011,0.985,0.011,0.008,-0.006,-0.007,0.985,-0.008,0.006,-0.018,-0.026,0.985,-0.026,0.019,-0.013,-0.017,0.986,-0.017,0.013,-0.007,-0.020,0.979,-0.020,0.007,-0.077,-0.014,0.986,-0.014,0.077,0.034,-0.011,0.982,-0.011,-0.035,-0.014,0.008,0.983,0.008,0.014,0.034,0.025,0.975,0.025,-0.035,-0.013,0.036,0.983,0.037,0.014,0.001,0.068,0.987,0.069,-0.001,-0.004,0.095,0.983,0.097,0.004,-0.005,0.072,0.984,0.073,0.005,-0.015,0.034,0.985,0.035,0.015,-0.009,0.015,0.985,0.015,0.009,-0.010,0.019,0.985,0.019,0.010,-0.010,0.018,0.986,0.019,0.010,-0.010,0.018,0.986,0.019,0.010
-0.009,0.017,0.987,0.018,0.009,-0.009,0.012,0.986,0.012,0.009,-0.010,0.004,0.986,0.004,0.011,-0.016,-0.009,0.985,-0.009,0.016,-0.009,-0.046,0.984,-0.047,0.009,0.001,-0.025,0.984,-0.025,-0.001,-0.047,-0.031,0.984,-0.032,0.048,0.039,0.003,0.990,0.003,-0.039,-0.006,-0.005,0.984,-0.005,0.007,-0.035,-0.019,0.977,-0.019,0.035,-0.018,0.046,0.981,0.047,0.019,-0.019,0.076,1.000,0.076,0.019,0.014,0.078,0.978,0.079,-0.014,0.005,0.055,0.987,0.056,-0.005,0.010,0.071,0.984,0.072,-0.010,-0.035,0.072,0.985,0.073,0.035,-0.007,0.014,0.986,0.014,0.007,-0.012,0.019,0.986,0.020,0.012,-0.010,0.019,0.986,0.019,0.010,-0.010,0.018,0.986,0.019,0.010
-0.009,0.018,0.985,0.018,0.009,-0.008,0.016,0.986,0.017,0.009,-0.009,0.015,0.985,0.015,0.009,-0.011,-0.009,0.986,-0.009,0.011,-0.011,-0.022,0.984,-0.023,0.012,-0.011,-0.029,0.982,-0.030,0.011,-0.040,-0.042,0.982,-0.043,0.041,0.021,-0.013,0.981,-0.013,-0.021,-0.032,-0.005,0.986,-0.005,0.032,-0.005,0.003,0.989,0.003,0.005,0.005,0.004,0.990,0.004,-0.005,-0.032,-0.006,1.008,-0.005,0.032,-0.026,0.008,0.976,0.008,0.027,0.035,0.070,0.981,0.071,-0.036,0.007,0.109,0.991,0.109,-0.007,0.008,0.112,0.984,0.113,-0.008,-0.020,0.075,0.985,0.076,0.020,-0.009,0.011,0.986,0.011,0.009,-0.010,0.020,0.986,0.020,0.010,-0.010,0.019,0.986,0.019,0.010
-0.009,0.016,0.986,0.017,0.009,-0.010,0.012,0.986,0.012,0.010,-0.009,-0.007,0.986,-0.007,0.009,-0.011,-0.024,0.985,-0.025,0.011,-0.027,-0.024,0.986,-0.025,0.027,0.005,-0.016,0.982,-0.016,-0.005,-0.026,-0.035,0.995,-0.035,0.026,-0.008,-0.014,0.983,-0.014,0.008,0.025,0.010,0.983,0.011,-0.026,-0.016,0.018,0.982,0.019,0.016,-0.035,0.014,0.979,0.015,0.036,0.033,0.085,0.999,0.085,-0.033,-0.033,0.109,0.981,0.111,0.033,-0.008,0.110,0.986,0.111,0.008,-0.013,0.008,0.986,0.008,0.013,-0.010,0.021,0.986,0.021,0.010,-0.011,0.017,0.986,0.018,0.011,-0.010,0.018,0.986,0.018,0.010,-0.010,0.019,0.986,0.019,0.010,-0.010,0.018,0.985,0.018,0.010
-0.008,0.017,0.985,0.017,0.008,-0.011,0.001,0.985,0.001,0.011,-0.012,-0.010,0.984,-0.010,0.012,-0.005,-0.018,0.982,-0.018,0.005,-0.054,-0.041,0.985,-0.042,0.054,0.030,-0.012,0.982,-0.012,-0.030,0.000,0.014,0.985,0.014,-0.000,0.024,0.031,0.989,0.031,-0.024,-0.024,0.035,0.981,0.036,0.024,-0.010,0.062,0.990,0.063,0.010,-0.011,0.095,0.983,0.097,0.011,-0.010,0.029,0.986,0.029,0.011,-0.010,0.020,0.986,0.020,0.010,-0.010,0.018,0.985,0.018,0.010,-0.011,0.018,0.986,0.019,0.011,-0.009,0.018,0.986,0.019,0.009,-0.010,0.019,0.985,0.019,0.010,-0.010,0.018,0.986,0.018,0.010,-0.010,0.018,0.986,0.018,0.010,-0.010,0.018,0.986,0.018,0.010
-0.008,0.017,0.986,0.017,0.008,-0.008,0.016,0.985,0.016,0.008,-0.008,0.016,0.986,0.016,0.008,-0.013,-0.005,0.985,-0.005,0.013,-0.010,-0.018,0.984,-0.018,0.010,-0.029,-0.024,0.985,-0.025,0.029,-0.019,-0.029,0.982,-0.029,0.019,-0.044,-0.053,0.981,-0.053,0.045,0.054,-0.014,0.987,-0.014,-0.054,0.015,0.009,0.982,0.009,-0.015,-0.027,0.040,0.971,0.041,0.028,0.004,0.042,0.991,0.042,-0.004,0.020,0.052,0.983,0.053,-0.020,-0.020,0.094,0.990,0.095,0.020,-0.019,0.120,0.984,0.121,0.020,-0.008,0.015,0.986,0.016,0.008,-0.010,0.019,0.986,0.019,0.010,-0.009,0.019,0.986,0.019,0.010,-0.010,0.018,0.986,0.018,0.010,-0.009,0.018,0.987,0.019,0.009
-0.009,0.017,0.986,0.017,0.009,-0.007,0.015,0.985,0.016,0.007,-0.009,0.007,0.985,0.007,0.010,-0.008,-0.005,0.985,-0.005,0.009,-0.009,-0.025,0.983,-0.025,0.009,-0.015,-0.018,0.984,-0.018,0.016,-0.003,-0.046,0.985,-0.046,0.003,-0.027,-0.031,0.985,-0.031,0.028,0.020,-0.010,0.985,-0.010,-0.020,-0.002,-0.002,0.992,-0.002,0.003,-0.017,0.021,0.989,0.021,0.017,-0.013,0.046,0.984,0.046,0.013,-0.003,0.040,0.988,0.040,0.003,-0.002,0.058,0.991,0.059,0.002,-0.018,0.081,0.986,0.082,0.018,-0.006,0.098,0.985,0.100,0.007,-0.018,0.062,0.985,0.062,0.018,-0.009,0.010,0.985,0.010,0.009,-0.010,0.021,0.985,0.021,0.010,-0.010,0.018,0.986,0.018,0.011
-0.009,0.017,0.986,0.018,0.010,-0.008,0.016,0.986,0.016,0.008,-0.011,0.001,0.985,0.001,0.011,-0.014,-0.021,0.985,-0.022,0.014,-0.026,-0.047,0.984,-0.048,0.026,0.000,-0.033,0.987,-0.034,-0.000,-0.022,-0.019,0.984,-0.020,0.022,-0.007,-0.019,0.990,-0.019,0.007,-0.002,-0.006,0.991,-0.006,0.002,0.016,0.027,0.981,0.028,-0.016,-0.009,0.037,0.992,0.037,0.009,0.012,0.038,0.997,0.039,-0.013,-0.023,0.042,0.983,0.043,0.023,-0.026,0.047,0.981,0.048,0.027,0.004,0.086,0.986,0.087,-0.004,-0.003,0.080,0.984,0.081,0.003,-0.006,0.049,0.985,0.049,0.006,-0.008,0.018,0.985,0.018,0.009,-0.010,0.018,0.985,0.018,0.010,-0.009,0.019,0.985,0.019,0.009
-0.009,0.017,0.986,0.017,0.009,-0.008,0.014,0.985,0.014,0.008,-0.009,-0.003,0.986,-0.003,0.009,-0.007,-0.018,0.985,-0.018,0.008,-0.033,-0.036,0.984,-0.037,0.034,0.006,-0.015,0.988,-0.015,-0.006,-0.014,-0.014,0.983,-0.014,0.014,-0.029,-0.021,0.982,-0.021,0.030,-0.024,0.012,0.985,0.013,0.024,0.016,0.006,0.988,0.006,-0.016,0.011,-0.011,0.983,-0.011,-0.011,-0.003,0.001,0.986,0.001,0.003,0.005,0.025,0.982,0.025,-0.005,-0.002,0.066,1.000,0.066,0.002,0.013,0.103,0.981,0.105,-0.013,-0.011,0.112,0.987,0.113,0.011,-0.019,0.058,0.984,0.059,0.019,-0.007,0.012,0.985,0.012,0.007,-0.010,0.019,0.986,0.020,0.010,-0.009,0.018,0.986,0.018,0.009
